"","pamr$sd"
"ENSG00000007944.15",40.891823252303
"ENSG00000007952.18",9.27324253725161
"ENSG00000007968.7",12.1941687619605
"ENSG00000008018.9",107.560411398297
"ENSG00000008056.14",8.67045598025157
"ENSG00000008083.14",19.4670186438192
"ENSG00000008086.13",9.48128078062505
"ENSG00000008118.10",7.64638571490429
"ENSG00000008128.23",7.33382424409582
"ENSG00000008130.15",24.328011639806
"ENSG00000008196.13",22.1934535440221
"ENSG00000008197.5",11.608004590871
"ENSG00000008226.20",17.0005475186913
"ENSG00000008256.16",40.3655216097716
"ENSG00000008277.14",8.83126923743177
"ENSG00000008282.9",114.128601612555
"ENSG00000008283.16",44.2085983544427
"ENSG00000008294.21",24.2224599469536
"ENSG00000008300.17",11.0557708511281
"ENSG00000008311.15",23.5625903969323
"ENSG00000008323.15",22.2221918679917
"ENSG00000008324.12",12.5025599420853
"ENSG00000008382.16",14.1150648128743
"ENSG00000008394.13",96.0462944103889
"ENSG00000008405.12",15.0336823893605
"ENSG00000008438.5",8.37144352041197
"ENSG00000008441.18",50.3318929929342
"ENSG00000008513.16",40.1467117321533
"ENSG00000008516.17",9.27998303052755
"ENSG00000008517.18",70.0117006745819
"ENSG00000008710.20",11.6982866370391
"ENSG00000008735.14",16.1692160120117
"ENSG00000008838.20",30.9552421513727
"ENSG00000008853.17",44.4026635326204
"ENSG00000008869.12",13.5760392504949
"ENSG00000008952.17",55.2714877681004
"ENSG00000008988.11",184.063976430061
"ENSG00000009307.16",128.144568000231
"ENSG00000009335.18",24.5466647271232
"ENSG00000009413.16",13.2006779681742
"ENSG00000009694.13",13.242300766446
"ENSG00000009709.12",22.1004796704303
"ENSG00000009724.17",7.81933063434114
"ENSG00000009765.15",14.1672334941475
"ENSG00000009780.16",11.1165189121856
"ENSG00000009790.15",10.1713148115554
"ENSG00000009830.12",10.9226263612849
"ENSG00000009844.16",16.5003917327485
"ENSG00000009950.16",11.5428745221117
"ENSG00000009954.11",34.2875352706314
"ENSG00000010017.13",39.3789212443229
"ENSG00000010030.14",18.3967069515075
"ENSG00000010072.16",10.6310288183222
"ENSG00000010165.20",25.1539873672619
"ENSG00000010219.13",9.71672767396191
"ENSG00000010244.19",19.6677154291006
"ENSG00000010256.11",59.9478902660949
"ENSG00000010270.14",23.4018227624439
"ENSG00000010278.15",340.514561505479
"ENSG00000010282.15",12.7753415132867
"ENSG00000010292.13",56.4861157641511
"ENSG00000010295.20",11.7337136173078
"ENSG00000010310.9",10.0053429661063
"ENSG00000010318.21",8.43819477572418
"ENSG00000010319.7",19.7591130810567
"ENSG00000010322.16",19.4404865169244
"ENSG00000010327.10",22.3068655264171
"ENSG00000010361.14",13.6488695647109
"ENSG00000010379.16",7.44840419814023
"ENSG00000010404.18",9.24576425968154
"ENSG00000010438.17",25.3161265929314
"ENSG00000010539.12",8.8761506944205
"ENSG00000010610.10",56.314836830172
"ENSG00000010626.15",22.5355643611945
"ENSG00000010671.16",13.7230342840952
"ENSG00000010704.18",12.8867504678506
"ENSG00000010803.16",19.2331760775583
"ENSG00000010810.17",19.8854902490653
"ENSG00000010818.10",16.2640236743887
"ENSG00000010932.17",30.7668048127224
"ENSG00000011007.12",24.388005824083
"ENSG00000011009.11",67.2268094699261
"ENSG00000011021.23",11.4363094749325
"ENSG00000011028.14",57.828303911985
"ENSG00000011052.21",6.88740303302543
"ENSG00000011083.9",7.08344878953491
"ENSG00000011105.14",26.4002486503015
"ENSG00000011114.15",13.1888333857396
"ENSG00000011132.12",10.494944436907
"ENSG00000011143.19",9.32635140976349
"ENSG00000011198.10",12.6838614867295
"ENSG00000011201.12",27.9710206046762
"ENSG00000011243.18",14.8233525822096
"ENSG00000011258.16",14.5381891251866
"ENSG00000011260.14",27.5624387595533
"ENSG00000011275.19",18.960762336453
"ENSG00000011295.16",17.8944553682038
"ENSG00000011304.22",49.3722175423623
"ENSG00000011332.19",9.47939917171116
"ENSG00000011347.10",37.273036088962
"ENSG00000011376.12",9.33932153179554
"ENSG00000011405.13",19.7846480277667
"ENSG00000011422.12",55.9449051281093
"ENSG00000011426.11",33.8939901447923
"ENSG00000011451.21",17.2211145954199
"ENSG00000011454.18",19.0946954580003
"ENSG00000011465.18",143.95185240275
"ENSG00000011478.13",18.7973189558045
"ENSG00000011485.15",18.2024748889619
"ENSG00000011523.14",13.6247212280492
"ENSG00000011566.15",18.1952634099269
"ENSG00000011590.14",8.09714196373525
"ENSG00000011600.12",211.698135552526
"ENSG00000011638.11",55.0871487913093
"ENSG00000011677.13",13.7038314713251
"ENSG00000012048.23",12.5796924335851
"ENSG00000012061.16",19.2282916009306
"ENSG00000012124.17",24.7661587974917
"ENSG00000012171.20",29.7162453621518
"ENSG00000012174.12",12.4395665041568
"ENSG00000012211.13",16.8192284600431
"ENSG00000012223.13",299.243644496455
"ENSG00000012232.9",15.3639190549183
"ENSG00000012504.15",8.76310137546489
"ENSG00000012660.14",64.5690976752432
"ENSG00000012779.11",44.2502850841113
"ENSG00000012817.16",17.1006655028081
"ENSG00000012822.16",19.5784454514692
"ENSG00000012963.15",22.5548376586796
"ENSG00000012983.11",16.6478779173495
"ENSG00000013016.16",16.6506291033303
"ENSG00000013275.8",141.278030959976
"ENSG00000013288.9",20.7579719712156
"ENSG00000013293.6",10.8022581812205
"ENSG00000013297.12",26.947959339232
"ENSG00000013306.16",80.1184534721886
"ENSG00000013364.19",91.7663447560267
"ENSG00000013374.16",25.9422770196976
"ENSG00000013375.16",14.91840855689
"ENSG00000013392.8",9.94065809070585
"ENSG00000013441.16",29.2630520613054
"ENSG00000013503.10",11.0431986168831
"ENSG00000013523.11",13.2420875834503
"ENSG00000013561.18",17.8039777861274
"ENSG00000013563.14",11.4033836646039
"ENSG00000013573.17",17.959331647301
"ENSG00000013583.10",21.4704649620609
"ENSG00000013588.9",169.780497932472
"ENSG00000013619.14",12.9310107336869
"ENSG00000013725.14",13.2960686302873
"ENSG00000013810.20",28.0956176628956
"ENSG00000014123.10",19.1596132055887
"ENSG00000014138.9",9.02973741948842
"ENSG00000014164.7",20.7294971159502
"ENSG00000014216.16",72.8722424546753
"ENSG00000014257.16",14.3410072725286
"ENSG00000014641.21",55.1857657840993
"ENSG00000014824.14",20.5648276957633
"ENSG00000014914.21",22.1377490303284
"ENSG00000014919.13",14.0767969032029
"ENSG00000015133.19",19.4819969821939
"ENSG00000015153.15",9.5642910839298
"ENSG00000015171.20",27.427631448361
"ENSG00000015285.11",22.9105269810404
"ENSG00000015413.9",19.7752799419873
"ENSG00000015475.19",27.3220824903448
"ENSG00000015479.20",10.3874807486851
"ENSG00000015520.15",13.1238644091733
"ENSG00000015532.10",24.5069394102343
"ENSG00000015568.13",6.9220220281126
"ENSG00000015592.16",7.54744789707465
"ENSG00000015676.18",21.8112192956235
"ENSG00000016082.15",11.4664794667561
"ENSG00000016391.11",11.5032640528198
"ENSG00000016402.13",15.6514888861286
"ENSG00000016490.16",9.82273557215044
"ENSG00000016602.9",75.4330343013625
"ENSG00000016864.18",17.1657805489319
"ENSG00000017260.20",43.2650287414388
"ENSG00000017427.17",8.47099190648574
"ENSG00000017483.15",39.4700767122584
"ENSG00000017797.13",24.4624014574174
"ENSG00000018189.13",15.8302093536012
"ENSG00000018236.15",29.5718057078319
"ENSG00000018280.17",20.6090214515125
"ENSG00000018408.15",32.0621922989572
"ENSG00000018510.17",18.2516203003543
"ENSG00000018610.15",22.3857252164666
"ENSG00000018625.15",8.81886663373766
"ENSG00000018699.13",15.9206121435311
"ENSG00000018869.17",7.76388034160531
"ENSG00000019102.12",90.4974068826716
"ENSG00000019144.19",11.720455573232
"ENSG00000019169.10",158.899098643778
"ENSG00000019186.10",173.857170867608
"ENSG00000019485.13",10.1134497861548
"ENSG00000019505.8",33.2837735816307
"ENSG00000019549.13",33.353401693751
"ENSG00000019582.15",1572.21441108335
"ENSG00000019991.18",13.6027078993006
"ENSG00000019995.6",10.1994471221752
"ENSG00000020129.16",18.3837391940443
"ENSG00000020181.18",15.6119100594649
"ENSG00000020256.20",14.3602629359366
"ENSG00000020426.11",12.7380723601777
"ENSG00000020577.14",13.5876956442435
"ENSG00000020633.19",21.9208629197003
"ENSG00000020922.13",12.8901446198184
"ENSG00000021300.14",25.7845921165908
"ENSG00000021355.13",174.385947670426
"ENSG00000021461.17",7.00175662019316
"ENSG00000021488.13",10.3853633277609
"ENSG00000021574.13",15.4408681342383
"ENSG00000021645.20",9.87434879803747
"ENSG00000021762.20",16.9764079654096
"ENSG00000021776.11",12.4841559587017
"ENSG00000021826.17",163.372325413745
"ENSG00000021852.13",18.0149428360094
"ENSG00000022267.19",38.7754811270697
"ENSG00000022277.13",24.1510152922811
"ENSG00000022355.18",7.169708022027
"ENSG00000022556.16",31.3303511212227
"ENSG00000022567.10",21.2450586646986
"ENSG00000022840.16",32.8924885614419
"ENSG00000022976.15",9.12644457853391
